"cruise"	"ship"	"ship_code"	"sample_number"	"resorted"	"time_UTC"	"lat_degN"	"lon_degE"	"start_temp_degC"	"start_salinity_psu"	"start_wind_speed_knots"	"start_wind_direction_deg"	"start_pump_speed_M3PerMin"	"stop_time_UTC"	"stop_lat_degN"	"stop_lon_degE"	"stop_temp_degC"	"stop_salinity_psu"	"stop_wind_speed_knots"	"stop_wind_direction_deg"	"stop_pump_speed_M3PerMin"	"sardine_eggs_count"	"anchovy_eggs_count"	"jack_mackerel_eggs_count"	"hake_eggs_count"	"squid_eggs_count"	"other_fish_eggs_count"	"year"
199803	"DAVID STARR JORDAN"	"JD"	1	"t"	1998-02-19 18:59:33	32.6917	-117.3251	16.524	33.172	5.71	120.055	0.64	1998-02-19 18:59:33	32.7469	-117.3904	16.399	33.434	4.45	142.6446	0.64	90	3	0	0	0	2	1998
199804	"DAVID STARR JORDAN"	"JD"	1	"t"	1998-04-03 00:30:03	32.9389	-117.3185	16.347	32.741	6.8	284.5186	0.64	1998-04-03 00:30:03	32.9296	-117.3443	16.527	32.781	6.87	302.7697	0.64	0	0	0	0	0	0	1998
199803	"DAVID STARR JORDAN"	"JD"	2	"t"	1998-02-19 19:29:22	32.7469	-117.3904	16.399	33.434	4.45	142.6446	0.64	1998-02-19 19:29:22	32.8022	-117.4567	16.084	33.41	6.55	280.8793	0.64	16	1	0	0	0	1	1998
199804	"DAVID STARR JORDAN"	"JD"	2	"t"	1998-04-03 00:47:04	32.9296	-117.3443	16.527	32.781	6.87	302.7697	0.64	1998-04-03 00:47:04	32.9136	-117.3952	16.433	32.783	8.16	308.6206	0.64	0	0	0	0	0	2	1998
199803	"DAVID STARR JORDAN"	"JD"	3	"t"	1998-02-19 19:59:49	32.8022	-117.4567	16.084	33.41	6.55	280.8793	0.64	1998-02-19 19:59:49	32.8574	-117.5248	16.555	33.451	5.73	306.312	0.64	70	0	0	0	0	0	1998
199804	"DAVID STARR JORDAN"	"JD"	3	"t"	1998-04-03 04:33:03	32.9033	-117.4004	16.223	32.794	7.93	303.3562	0.64	1998-04-03 04:33:03	32.8819	-117.4484	16.223	32.822	9.85	304.7336	0.64	28	0	0	0	0	1	1998
199804	"DAVID STARR JORDAN"	"JD"	4	"t"	1998-04-03 05:03:15	32.8819	-117.4484	16.223	32.822	9.85	304.7336	0.64	1998-04-03 05:03:15	32.8418	-117.5437	16.125	32.814	9.85	304.7336	0.64	9	0	0	0	0	0	1998
199803	"DAVID STARR JORDAN"	"JD"	4	"t"	1998-02-19 20:29:52	32.8574	-117.5248	16.555	33.451	5.73	306.312	0.64	1998-02-19 20:29:52	32.9141	-117.5897	16.54	33.474	7.06	338.8156	0.64	200	0	0	0	0	0	1998
199803	"DAVID STARR JORDAN"	"JD"	5	"t"	1998-02-19 20:59:52	32.9141	-117.5897	16.54	33.474	7.06	338.8156	0.64	1998-02-19 20:59:52	32.9703	-117.6548	16.153	33.387	8.03	125.0522	0.64	136	0	0	0	0	0	1998
199804	"DAVID STARR JORDAN"	"JD"	5	"t"	1998-04-03 08:00:14	32.8418	-117.5437	16.047	32.845	9.85	304.7336	0.64	1998-04-03 08:00:14	32.8016	-117.6391	15.972	32.815	9.85	304.7336	0.64	0	0	0	0	1	0	1998
